n_space_points,space_dim,n_subsample_points,n_reruns_algo,method,n_rerun_time,time_mean,time_std
1000,100,15,5,classic,10,0.7491083800035995,0.01479135634835042
1000,100,15,5,numba,10,0.9098072100023273,0.4803959930207794
1000,100,15,5,joblib,10,0.7253708000003826,0.6922020636761732
1000,100,15,5,multiprocessing,10,8.821400750003523,0.3715346347396512
1000,100,15,10,classic,10,1.4225976299960166,0.01121944037311237
1000,100,15,10,numba,10,1.4228410399926361,0.011109069645590905
1000,100,15,10,joblib,10,0.7170174599916208,0.01006821229303414
1000,100,15,10,multiprocessing,10,10.283290869992925,0.0690614376646164
1000,100,15,15,classic,10,2.098793830012437,0.014733446671243936
1000,100,15,15,numba,10,2.131045210006414,0.05474309445401485
1000,100,15,15,joblib,10,0.9665326400019694,0.06006417803312632
1000,100,15,15,multiprocessing,10,12.512084629992023,0.6198466774673268
1000,100,15,20,classic,10,2.795166530000279,0.024513921479802407
1000,100,15,20,numba,10,2.7819440499937627,0.008859402700122348
1000,100,15,20,joblib,10,1.1993121099891142,0.023659868164977362
1000,100,15,20,multiprocessing,10,14.962551780004286,1.4724844328486282
