n_space_points,space_dim,n_subsample_points,n_reruns_algo,method,n_rerun_time,time_mean,time_std
200,100,15,5,classic,10,0.2229027100140229,0.04324661346764993
200,100,15,5,numba,10,1.042154719994869,1.5387629669495542
200,100,15,5,joblib,10,1.0853850700019394,2.775486273594248
200,100,15,5,multiprocessing,10,14.137147810001625,3.7922216256363805
500,100,15,5,classic,10,0.5910694500023965,0.07625824998167416
500,100,15,5,numba,10,0.6115061300050002,0.13634483824461638
500,100,15,5,joblib,10,0.5269533100072294,0.05315751821442405
500,100,15,5,multiprocessing,10,20.63424285000074,3.5465075174089056
1000,100,15,5,classic,10,2.7394191200088245,0.33154001316486187
1000,100,15,5,numba,10,2.6499493500043174,0.19001517103601961
1000,100,15,5,joblib,10,1.0840948499913794,0.06362062719759598
1000,100,15,5,multiprocessing,10,25.168756880005823,5.281289185142844
2000,100,15,5,classic,10,11.259354750002966,3.143487492996218
2000,100,15,5,numba,10,18.905770640005358,10.779190296049677
2000,100,15,5,joblib,10,3.271982790000038,2.6479744246812196
2000,100,15,5,multiprocessing,10,64.57828663000255,12.842177084769801
