n_space_points,space_dim,n_subsample_points,n_reruns_algo,method,n_rerun_time,time_mean,time_std
1000,100,5,5,classic,10,0.41616040001390503,0.2199156158754381
1000,100,5,5,numba,10,0.6304883499920834,0.6882146198938567
1000,100,5,5,joblib,10,0.5923704600019846,0.8847330234702727
1000,100,5,5,multiprocessing,10,7.577518429991324,0.5165251328208007
1000,100,10,5,classic,10,0.5189209399977699,0.01641579932928
1000,100,10,5,numba,10,0.5241434599854984,0.02295512470675786
1000,100,10,5,joblib,10,0.3964007599861361,0.017023631392219372
1000,100,10,5,multiprocessing,10,8.110643799992976,0.17043244895960957
1000,100,15,5,classic,10,0.7317668799951207,0.006667028668937625
1000,100,15,5,numba,10,0.7424118600087241,0.01567682969153221
1000,100,15,5,joblib,10,0.46874389000586236,0.03840335891160938
1000,100,15,5,multiprocessing,10,8.673787150002317,0.1958092712779512
1000,100,20,5,classic,10,0.9568156000052113,0.010100070628570504
1000,100,20,5,numba,10,1.0307843099988532,0.19710892685561973
1000,100,20,5,joblib,10,0.5565367599891033,0.012856565035979109
1000,100,20,5,multiprocessing,10,9.30288819000125,0.3012997014462643
1000,100,30,5,classic,10,1.4124829000036698,0.018904413986002844
1000,100,30,5,numba,10,1.4068925300089177,0.01676001784436704
1000,100,30,5,joblib,10,0.7516746899986174,0.07005058094846484
1000,100,30,5,multiprocessing,10,10.209030330000678,0.2740921604150609
