n_space_points,space_dim,n_subsample_points,n_reruns_algo,method,n_rerun_time,time_mean,time_std
1000,10,15,5,classic,10,4.262672580004437,3.198959356745742
1000,10,15,5,numba,10,6.207410410005832,7.306394202023102
1000,10,15,5,joblib,10,2.870008509996114,4.729940180890155
1000,10,15,5,multiprocessing,10,37.28412744999514,6.351729094624847
1000,20,15,5,classic,10,3.145189699984621,1.1070147169830904
1000,20,15,5,numba,10,4.565265599993291,2.269567301052914
1000,20,15,5,joblib,10,3.3952629799954592,5.18481789511056
1000,20,15,5,multiprocessing,10,39.023365070001454,9.718285703658207
1000,50,15,5,classic,10,5.672371419996489,4.9680017198302995
1000,50,15,5,numba,10,2.468389800004661,0.9501309150391288
1000,50,15,5,joblib,10,1.9095619399857242,2.252880345261957
1000,50,15,5,multiprocessing,10,29.448593160003657,12.610591130784757
1000,100,15,5,classic,10,1.181586129992502,0.2870677308884218
1000,100,15,5,numba,10,1.0418777599930764,0.23593870997662356
1000,100,15,5,joblib,10,1.6443149499944412,2.6307691044550974
1000,100,15,5,multiprocessing,10,24.741392200009432,11.50989657536936
